group_id,parent_id,description,priority,max_allocation
ACME,,All ACME Sites,,
HQ,ACME,HQ site,,00:00-07:59>0=63;08:00-16:59>0=20:3=63;17:00-20:59>5=63;21:00-23:59>0=40:3=63
HQ-LOW,HQ,HQ low priority chargers,1,
HQ-MED,HQ,HQ medium priority chargers,3,
HQ-HIGH,HQ,HQ high priority chargers,5,
RR1,ACME,Road Runner 1 Site chargers,,00:00-23:59>0=10:3=12:5=16
RR2,ACME,Road Runner 2 Site,,00:00-05:59>0=48;06:00-16:59>0=16:3=32:5=48;17:00-20:59>0=0:5=48;21:00-23:59>0=32:5=48
RR2-LOW,RR2,Road Runner 2 Site low priority,1,
RR2-HIGH,RR2,Road Runner 2 Site low priority,3,
Default,,Default Group for autoregistered chargers,,